20200130_3_xls-data.xlsx;30.01.2020: Antrag Schutz von Hinweisgebern auf EU-Ebene
20200130_2_xls-data.xlsx;30.01.2020: Antrag Engagement- und Ehrenamts-Check
20200130_1_xls-data.xlsx;30.01.2020: Gesetzentwurf Deutsche Stiftung für Engagement und Ehrenamt
20200117_1_xls-data.xlsx;17.01.2020: Freisetzungsrichtlinie auch für neue Gentechnik (Beschlussempfehlung)
20200116_3_xls-data.xlsx;16.01.2020: Entscheidungsbereitschaft bei Organspende (3. Lesung)
20200116_2_xls-data.xlsx;16.01.2020: Entscheidungsbereitschaft bei Organspende (2. Lesung)
20200116_1_xls-data.xlsx;16.01.2020: Organspende - Regelung der doppelten Widerspruchslösung (Lauterbach, Spahn)
20200115_xls-data.xlsx;15.01.2020: Erneute Abstimmung über das Mandat „Einsatz bewaffneter deutscher Streitkräfte im Irak“ im Deutschen Bundestag
20191220_1_xls-data.xlsx;20.12.2019: Beschlussempfehlung des Verteidigungsausschusses zum Antrag der FDP
20191220_2_xls-data.xlsx;20.12.2019: Antrag DIE Linke - Keine Anschaffung, sondern Ächtung bewaffneter Drohnen
20191219_5_xls-data.xlsx;19.12.2019: Entschließungsantrag der Fraktion Die Linke zur Änderung des Bundesnaturschutzgesetzes
20191219_4_xls-data.xlsx;19.12.2019: Gesetzentwurf des Bundesregierung zur Änderung des Bundesnaturschutzgesetzes
20191219_6_xls-data.xlsx;19.12.2019: Gesetzentwurf der Fraktion der FDP zum Wolfsmanagement
20191219_3_xls-data.xlsx;19.12.2019: Gesetz zur Umsetzung des Klimaschutzprogramms 2030 im Steuerrecht
20191219_2_xls-data.xlsx;19.12.2019: Vorgehen gegen die Hisbollah
20191219_1_xls-data.xlsx;19.12.2019: Föderale Sicherheitsarchitektur
20191129_3_xls-data.xlsx;29.11.2019: Entschließungsantrag AfD - Einzelplan 60 (Allgemeine Finanzverwaltung)
